Tile_i	Tile_name	Cable_length	cable_vf	reflection_flag	Tile_mode_X	Tile_amp_X	Tile_phase_X	Tile_mode_Y	Tile_amp_Y	Tile_phase_Y	
          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	
      40.0000	      61.0000	      150.000	     0.810000	      1.00000	      37.6022	    0.0203931	      2.01280	      37.5522	    0.0232671	     -2.56420	
      41.0000	      62.0000	      150.000	     0.810000	      1.00000	      37.5522	    0.0170996	     0.226392	      38.4022	    0.0220960	      1.12217	
      42.0000	      63.0000	      150.000	     0.810000	      1.00000	      38.5022	    0.0204220	     -2.67325	      37.6522	    0.0218150	      1.27297	
      43.0000	      64.0000	      150.000	     0.810000	      1.00000	      38.5022	    0.0182229	   -0.0182208	      37.6522	   0.00640145	   0.00640137	
      44.0000	      65.0000	      230.000	     0.810000	      1.00000	      37.5522	    0.0193497	     -2.74956	      37.5522	    0.0170019	      2.66891	
      45.0000	      66.0000	      150.000	     0.810000	      1.00000	      38.4022	    0.0260863	     -2.67442	      37.5522	    0.0227696	     -1.36092	
      46.0000	      67.0000	      150.000	     0.810000	      1.00000	      37.6022	    0.0172798	      2.64644	      38.4522	    0.0272320	      1.77308	
      47.0000	      68.0000	      150.000	     0.810000	      1.00000	      37.6022	    0.0152044	   -0.0152033	      38.4522	   0.00547104	  -0.00547099	
      48.0000	      71.0000	      230.000	     0.810000	      1.00000	      0.00000	      0.00000	      0.00000	      0.00000	      0.00000	      0.00000	
      49.0000	      72.0000	      230.000	     0.810000	      1.00000	      0.00000	      0.00000	      0.00000	      0.00000	      0.00000	      0.00000	
      50.0000	      73.0000	      524.000	     0.850000	      1.00000	      0.00000	      0.00000	      0.00000	      0.00000	      0.00000	      0.00000	
      51.0000	      74.0000	      230.000	     0.810000	      1.00000	      0.00000	      0.00000	      0.00000	      0.00000	      0.00000	      0.00000	
      52.0000	      75.0000	      230.000	     0.810000	      1.00000	      0.00000	      0.00000	      0.00000	      0.00000	      0.00000	      0.00000	
      53.0000	      76.0000	      230.000	     0.810000	      1.00000	      0.00000	      0.00000	      0.00000	      0.00000	      0.00000	      0.00000	
      54.0000	      77.0000	      90.0000	     0.810000	      1.00000	      38.5522	    0.0314591	     -2.42261	      38.5522	    0.0298308	     -2.13320	
      55.0000	      78.0000	      150.000	     0.810000	      1.00000	      38.5522	    0.0236723	   -0.0236679	      38.5522	    0.0159065	   -0.0159052	
      56.0000	      81.0000	      230.000	     0.810000	      1.00000	      38.4022	    0.0310946	      1.84392	      38.4022	    0.0322280	      2.25798	
      57.0000	      82.0000	      150.000	     0.810000	      1.00000	      38.4022	   0.00838761	  -0.00838741	      38.4022	    0.0204442	   -0.0204413	
      58.0000	      83.0000	      230.000	     0.810000	      1.00000	      0.00000	      0.00000	      0.00000	      0.00000	      0.00000	      0.00000	
      59.0000	      84.0000	      230.000	     0.810000	      1.00000	      0.00000	      0.00000	      0.00000	      0.00000	      0.00000	      0.00000	
      60.0000	      85.0000	      230.000	     0.810000	      1.00000	      0.00000	      0.00000	      0.00000	      0.00000	      0.00000	      0.00000	
      61.0000	      86.0000	      230.000	     0.810000	      1.00000	      0.00000	      0.00000	      0.00000	      0.00000	      0.00000	      0.00000	
      62.0000	      87.0000	      230.000	     0.810000	      1.00000	      0.00000	      0.00000	      0.00000	      0.00000	      0.00000	      0.00000	
      63.0000	      88.0000	      90.0000	     0.810000	      1.00000	      0.00000	      0.00000	      0.00000	      0.00000	      0.00000	      0.00000	
      64.0000	      91.0000	      320.000	     0.850000	      1.00000	      0.00000	      0.00000	      0.00000	      0.00000	      0.00000	      0.00000	
      65.0000	      92.0000	      230.000	     0.810000	      1.00000	      38.4522	    0.0245327	      1.49170	      38.4522	    0.0308397	     0.471753	
      66.0000	      93.0000	      150.000	     0.810000	      1.00000	      38.4522	   0.00193840	   0.00193839	      38.4522	    0.0274712	    0.0274643	
      67.0000	      94.0000	      230.000	     0.810000	      1.00000	      0.00000	      0.00000	      0.00000	      0.00000	      0.00000	      0.00000	
      68.0000	      95.0000	      230.000	     0.810000	      1.00000	      0.00000	      0.00000	      0.00000	      0.00000	      0.00000	      0.00000	
      69.0000	      96.0000	      230.000	     0.810000	      1.00000	      0.00000	      0.00000	      0.00000	      0.00000	      0.00000	      0.00000	
      70.0000	      97.0000	      230.000	     0.810000	      1.00000	      0.00000	      0.00000	      0.00000	      0.00000	      0.00000	      0.00000	
      71.0000	      98.0000	      230.000	     0.810000	      1.00000	      0.00000	      0.00000	      0.00000	      0.00000	      0.00000	      0.00000	
      72.0000	      101.000	      400.000	     0.850000	      1.00000	      0.00000	      0.00000	      0.00000	      0.00000	      0.00000	      0.00000	
      73.0000	      102.000	      400.000	     0.850000	      1.00000	      38.4522	    0.0301589	      2.48197	      38.4522	    0.0274126	      2.24161	
      74.0000	      103.000	      150.000	     0.810000	      1.00000	      38.4522	    0.0238322	   -0.0238277	      38.4522	    0.0170402	   -0.0170386	
      75.0000	      104.000	      524.000	     0.850000	      1.00000	      0.00000	      0.00000	      0.00000	      0.00000	      0.00000	      0.00000	
      76.0000	      105.000	      230.000	     0.810000	      1.00000	      38.4022	    0.0294632	      2.21294	      37.6022	    0.0216503	      2.84815	
      77.0000	      106.000	      150.000	     0.810000	      1.00000	      38.4022	    0.0176459	   -0.0176440	      37.6022	    0.0207248	   -0.0207218	
      78.0000	      107.000	      524.000	     0.850000	      1.00000	      0.00000	      0.00000	      0.00000	      0.00000	      0.00000	      0.00000	
      79.0000	      108.000	      524.000	     0.850000	      1.00000	      0.00000	      0.00000	      0.00000	      0.00000	      0.00000	      0.00000	
      80.0000	      111.000	      524.000	     0.850000	      1.00000	      0.00000	      0.00000	      0.00000	      0.00000	      0.00000	      0.00000	
      81.0000	      112.000	      400.000	     0.850000	      1.00000	      0.00000	      0.00000	      0.00000	      0.00000	      0.00000	      0.00000	
      82.0000	      113.000	      524.000	     0.850000	      1.00000	      0.00000	      0.00000	      0.00000	      0.00000	      0.00000	      0.00000	
      83.0000	      114.000	      400.000	     0.850000	      1.00000	      0.00000	      0.00000	      0.00000	      0.00000	      0.00000	      0.00000	
      84.0000	      115.000	      524.000	     0.850000	      1.00000	      0.00000	      0.00000	      0.00000	      0.00000	      0.00000	      0.00000	
      85.0000	      116.000	      524.000	     0.850000	      1.00000	      0.00000	      0.00000	      0.00000	      0.00000	      0.00000	      0.00000	
      86.0000	      117.000	      524.000	     0.850000	      1.00000	      0.00000	      0.00000	      0.00000	      0.00000	      0.00000	      0.00000	
      87.0000	      118.000	      524.000	     0.850000	      1.00000	      0.00000	      0.00000	      0.00000	      0.00000	      0.00000	      0.00000	
      88.0000	      121.000	      524.000	     0.850000	      1.00000	      0.00000	      0.00000	      0.00000	      0.00000	      0.00000	      0.00000	
      89.0000	      122.000	      524.000	     0.850000	      1.00000	      0.00000	      0.00000	      0.00000	      0.00000	      0.00000	      0.00000	
      90.0000	      123.000	      400.000	     0.850000	      1.00000	      0.00000	      0.00000	      0.00000	      0.00000	      0.00000	      0.00000	
      91.0000	      124.000	      320.000	     0.850000	      1.00000	      0.00000	      0.00000	      0.00000	      0.00000	      0.00000	      0.00000	
      92.0000	      125.000	      524.000	     0.850000	      1.00000	      0.00000	      0.00000	      0.00000	      0.00000	      0.00000	      0.00000	
      93.0000	      126.000	      524.000	     0.850000	      1.00000	      0.00000	      0.00000	      0.00000	      0.00000	      0.00000	      0.00000	
      94.0000	      127.000	      400.000	     0.850000	      1.00000	      0.00000	      0.00000	      0.00000	      0.00000	      0.00000	      0.00000	
      95.0000	      128.000	      524.000	     0.850000	      1.00000	      0.00000	      0.00000	      0.00000	      0.00000	      0.00000	      0.00000	
      96.0000	      131.000	      524.000	     0.850000	      1.00000	      0.00000	      0.00000	      0.00000	      0.00000	      0.00000	      0.00000	
      97.0000	      132.000	      524.000	     0.850000	      1.00000	      0.00000	      0.00000	      0.00000	      0.00000	      0.00000	      0.00000	
      98.0000	      133.000	      524.000	     0.850000	      1.00000	      0.00000	      0.00000	      0.00000	      0.00000	      0.00000	      0.00000	
      99.0000	      134.000	      400.000	     0.850000	      1.00000	      0.00000	      0.00000	      0.00000	      0.00000	      0.00000	      0.00000	
      100.000	      135.000	      320.000	     0.850000	      1.00000	      0.00000	      0.00000	      0.00000	      0.00000	      0.00000	      0.00000	
      101.000	      136.000	      400.000	     0.850000	      1.00000	      0.00000	      0.00000	      0.00000	      0.00000	      0.00000	      0.00000	
      102.000	      137.000	      320.000	     0.850000	      1.00000	      0.00000	      0.00000	      0.00000	      0.00000	      0.00000	      0.00000	
      103.000	      138.000	      524.000	     0.850000	      1.00000	      0.00000	      0.00000	      0.00000	      0.00000	      0.00000	      0.00000	
      104.000	      141.000	      524.000	     0.850000	      1.00000	      0.00000	      0.00000	      0.00000	      0.00000	      0.00000	      0.00000	
      105.000	      142.000	      524.000	     0.850000	      1.00000	      0.00000	      0.00000	      0.00000	      0.00000	      0.00000	      0.00000	
      106.000	      143.000	      320.000	     0.850000	      1.00000	      0.00000	      0.00000	      0.00000	      0.00000	      0.00000	      0.00000	
      107.000	      144.000	      524.000	     0.850000	      1.00000	      0.00000	      0.00000	      0.00000	      0.00000	      0.00000	      0.00000	
      108.000	      145.000	      524.000	     0.850000	      1.00000	      0.00000	      0.00000	      0.00000	      0.00000	      0.00000	      0.00000	
      109.000	      146.000	      320.000	     0.850000	      1.00000	      0.00000	      0.00000	      0.00000	      0.00000	      0.00000	      0.00000	
      110.000	      147.000	      400.000	     0.850000	      1.00000	      0.00000	      0.00000	      0.00000	      0.00000	      0.00000	      0.00000	
      111.000	      148.000	      400.000	     0.850000	      1.00000	      0.00000	      0.00000	      0.00000	      0.00000	      0.00000	      0.00000	
      112.000	      151.000	      524.000	     0.850000	      1.00000	      0.00000	      0.00000	      0.00000	      0.00000	      0.00000	      0.00000	
      113.000	      152.000	      230.000	     0.810000	      1.00000	      0.00000	      0.00000	      0.00000	      0.00000	      0.00000	      0.00000	
      114.000	      153.000	      524.000	     0.850000	      1.00000	      0.00000	      0.00000	      0.00000	      0.00000	      0.00000	      0.00000	
      115.000	      154.000	      524.000	     0.850000	      1.00000	      0.00000	      0.00000	      0.00000	      0.00000	      0.00000	      0.00000	
      116.000	      155.000	      400.000	     0.850000	      1.00000	      0.00000	      0.00000	      0.00000	      0.00000	      0.00000	      0.00000	
      117.000	      156.000	      400.000	     0.850000	      1.00000	      0.00000	      0.00000	      0.00000	      0.00000	      0.00000	      0.00000	
      118.000	      157.000	      400.000	     0.850000	      1.00000	      0.00000	      0.00000	      0.00000	      0.00000	      0.00000	      0.00000	
      119.000	      158.000	      400.000	     0.850000	      1.00000	      0.00000	      0.00000	      0.00000	      0.00000	      0.00000	      0.00000	
      120.000	      161.000	      90.0000	     0.810000	      1.00000	      0.00000	      0.00000	      0.00000	      0.00000	      0.00000	      0.00000	
      121.000	      162.000	      230.000	     0.810000	      1.00000	      0.00000	      0.00000	      0.00000	      0.00000	      0.00000	      0.00000	
      122.000	      163.000	      524.000	     0.850000	      1.00000	      0.00000	      0.00000	      0.00000	      0.00000	      0.00000	      0.00000	
      123.000	      164.000	      524.000	     0.850000	      1.00000	      0.00000	      0.00000	      0.00000	      0.00000	      0.00000	      0.00000	
      124.000	      165.000	      524.000	     0.850000	      1.00000	      0.00000	      0.00000	      0.00000	      0.00000	      0.00000	      0.00000	
      125.000	      166.000	      400.000	     0.850000	      1.00000	      0.00000	      0.00000	      0.00000	      0.00000	      0.00000	      0.00000	
      126.000	      167.000	      400.000	     0.850000	      1.00000	      0.00000	      0.00000	      0.00000	      0.00000	      0.00000	      0.00000	
      127.000	      168.000	      320.000	     0.850000	      1.00000	      0.00000	      0.00000	      0.00000	      0.00000	      0.00000	      0.00000	
