# RA        Dec       Flux_182  Flux_cat  Alpha     Freq      Catalog    
116.09    37.87     17.88     15.6      -1.04     160.0     Culgoora   
211.69    34.21     17.85     15.7      -0.98     160.0     Culgoora   
316.83    -25.44    17.81     17.81     0.0       180.0     MWACS      
246.17    23.74     17.77     16.1      -0.75     160.0     Culgoora   
55.87     4.96      17.76     15.6      -0.99     160.0     Culgoora   
61.95     -12.19    17.76     15.6      -0.99     160.0     Culgoora   
77.64     -18.65    17.76     17.43     -1.4      180.0     MWACS      
232.96    24.03     17.7      15.3      -1.11     160.0     Culgoora   
73.85     -20.57    17.62     17.48     -0.6      180.0     MWACS      
38.6      31.57     17.62     15.8      -0.83     160.0     Culgoora   
241.36    -9.45     17.54     16.0      -0.7      160.0     Culgoora   
174.82    -32.37    17.49     15.3      -1.02     160.0     Culgoora   
154.54    -31.76    17.36     17.2      -0.07     160.0     Culgoora   
177.48    12.79     17.33     15.5      -0.85     160.0     Culgoora   
263.68    16.02     17.28     16.5      -0.35     160.0     Culgoora   
167.86    35.71     17.19     15.6      -0.74     160.0     Culgoora   
6.13      -29.48    17.18     17.18     -0.8      182.44    FHD        
21.87     -14.04    17.13     15.4      -0.81     160.0     Culgoora   
260.27    -37.44    17.01     15.7      -0.61     160.0     Culgoora   
130.19    13.21     16.95     15.2      -0.83     160.0     Culgoora   
288.95    -26.88    16.88     15.0      -0.9      160.0     Culgoora   
117.43    -44.21    16.88     16.72     -0.72     180.0     MWACS      
50.31     -37.16    16.86     16.86     0.0       180.0     MWACS      
22.51     23.57     16.82     15.2      -0.77     160.0     Culgoora   
41.74     -55.69    16.79     16.6      -0.84     180.0     MWACS      
111.77    -2.07     16.7      14.8      -0.92     160.0     Culgoora   
166.59    -21.12    16.66     15.3      -0.65     160.0     Culgoora   
196.4     8.92      16.65     14.0      -1.32     160.0     Culgoora   
343.77    13.23     16.62     15.1      -0.73     160.0     Culgoora   
96.78     -35.49    16.61     16.43     -0.8      180.0     MWACS      
57.9      -27.73    16.49     16.49     0.0       180.0     MWACS      
74.18     22.82     16.37     13.8      -1.3      160.0     Culgoora   
294.86    -63.71    16.35     6.24      1.2       408.0     MRC        
175.39    -28.85    16.29     15.7      -0.28     160.0     Culgoora   
31.77     29.51     16.28     13.8      -1.26     160.0     Culgoora   
193.68    -29.22    16.27     13.7      -1.31     160.0     Culgoora   
87.35     -40.85    16.26     16.11     -0.71     180.0     MWACS      
225.69    -41.95    16.18     30.8      -0.8      408.0     MRC        
126.86    29.3      16.01     14.7      -0.65     160.0     Culgoora   
192.71    -41.32    15.99     14.4      -0.8      160.0     Culgoora   
107.95    -20.72    15.97     15.79     -0.87     180.0     MWACS      
295.49    10.45     15.91     14.9      -0.5      160.0     Culgoora   
359.76    -60.92    15.87     30.21     -0.8      408.0     MRC        
167.22    25.03     15.83     14.1      -0.88     160.0     Culgoora   
144.13    4.4       15.81     14.2      -0.82     160.0     Culgoora   
299.05    -7.61     15.8      14.8      -0.5      160.0     Culgoora   
158.3     -34.31    15.78     13.8      -1.02     160.0     Culgoora   
133.25    -20.8     15.73     14.0      -0.89     160.0     Culgoora   
